game_id,game_date,season,season_type,home_team_id,home_team,home_team_name,home_points,home_rebounds,home_turnovers,home_assists,home_steals,home_blocks,home_fg_pct,home_fg3_pct,home_ft_pct,home_off_rebounds,home_def_rebounds,home_fouls,home_plus_minus,away_team_id,away_team,away_team_name,away_points,away_rebounds,away_turnovers,away_assists,away_steals,away_blocks,away_fg_pct,away_fg3_pct,away_ft_pct,away_off_rebounds,away_def_rebounds,away_fouls,away_plus_minus,sport,playoff_game,home_rest_days,away_rest_days,home_streak,away_streak,home_season_win_pct,home_home_win_pct,home_road_win_pct,away_season_win_pct,away_home_win_pct,away_road_win_pct,closing_spread,closing_total
0022200001,2022-10-18,22022,Regular Season,1610612738,BOS,Boston Celtics,126,36,10,24,8,3,0.561,0.343,0.786,6,30,24,9.0,1610612755,PHI,Philadelphia 76ers,117,31,14,16,8,3,0.5,0.382,0.857,4,27,25,-9.0,nba,0,7.0,7.0,0,0,20.0,0.0,0.0,47.0,0.0,0.0,-6.5,243.9
0022200002,2022-10-18,22022,Regular Season,1610612744,GSW,Golden State Warriors,123,48,18,31,11,4,0.455,0.356,0.739,11,37,23,14.0,1610612747,LAL,Los Angeles Lakers,109,48,21,23,12,4,0.426,0.25,0.76,9,39,18,-14.0,nba,0,7.0,7.0,0,0,63.0,0.0,0.0,42.0,0.0,0.0,-14.7,223.4
0022200010,2022-10-19,22022,Regular Season,1610612750,MIN,Minnesota Timberwolves,115,55,14,25,6,5,0.415,0.263,0.818,14,41,21,7.0,1610612760,OKC,Oklahoma City Thunder,108,57,13,22,6,6,0.384,0.311,0.818,16,41,26,-7.0,nba,0,7.0,7.0,0,0,32.0,0.0,0.0,57.0,0.0,0.0,-3.8,221.6
0022200014,2022-10-19,22022,Regular Season,1610612758,SAC,Sacramento Kings,108,41,15,27,8,5,0.459,0.386,0.684,4,37,25,-7.0,1610612757,POR,Portland Trail Blazers,115,44,11,20,11,2,0.443,0.393,0.788,11,33,17,7.0,nba,0,7.0,7.0,0,0,43.0,0.0,0.0,45.0,0.0,0.0,14.6,226.2
0022200005,2022-10-19,22022,Regular Season,1610612737,ATL,Atlanta Hawks,117,38,9,30,12,5,0.5,0.28,0.833,4,34,18,10.0,1610612745,HOU,Houston Rockets,107,54,15,25,4,3,0.429,0.257,0.933,15,39,20,-10.0,nba,0,7.0,7.0,0,0,0.0,0.0,0.0,37.0,0.0,0.0,-11.2,226.9
0022200013,2022-10-19,22022,Regular Season,1610612756,PHX,Phoenix Suns,107,40,12,25,4,5,0.471,0.364,0.864,8,32,29,2.0,1610612742,DAL,Dallas Mavericks,105,40,12,17,6,4,0.467,0.4,0.618,5,35,22,-2.0,nba,0,7.0,7.0,0,0,49.0,0.0,0.0,56.0,0.0,0.0,-3.2,216.0
0022200011,2022-10-19,22022,Regular Season,1610612759,SAS,San Antonio Spurs,102,44,15,22,8,8,0.404,0.206,0.714,14,30,19,-27.0,1610612766,CHA,Charlotte Hornets,129,51,15,26,7,10,0.511,0.448,0.87,14,37,20,27.0,nba,0,7.0,7.0,0,0,22.0,0.0,0.0,59.0,0.0,0.0,34.9,233.3
0022200003,2022-10-19,22022,Regular Season,1610612765,DET,Detroit Pistons,113,41,12,31,11,4,0.426,0.368,0.792,12,29,21,4.0,1610612753,ORL,Orlando Magic,109,48,18,21,5,5,0.488,0.367,0.737,10,38,24,-4.0,nba,0,7.0,7.0,0,0,56.0,0.0,0.0,68.0,0.0,0.0,-0.2,217.9
0022200004,2022-10-19,22022,Regular Season,1610612754,IND,Indiana Pacers,107,42,15,21,7,5,0.402,0.357,0.667,12,30,20,-7.0,1610612764,WAS,Washington Wizards,114,53,16,21,5,10,0.457,0.355,0.792,14,39,19,7.0,nba,0,7.0,7.0,0,0,54.0,0.0,0.0,22.0,0.0,0.0,4.7,216.9
0022200012,2022-10-19,22022,Regular Season,1610612762,UTA,Utah Jazz,123,43,19,27,10,1,0.506,0.421,0.742,11,32,21,21.0,1610612743,DEN,Denver Nuggets,102,35,21,21,10,3,0.482,0.227,0.944,10,25,23,-21.0,nba,0,7.0,7.0,0,0,49.0,0.0,0.0,26.0,0.0,0.0,-18.3,215.4
